config,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_soft_stops,n_inversions,n_signals_emitted,n_fills,n_alignment_skipped,n_entry_aligned,n_entry_opposed,n_entry_unknown,n_structure_invalidations,error
FVG_INV_STRUCT_1800,2024-08-05,11,14.099999999992633,1.281818181817512,38,11,12,14,9,11,38,11,0,0,11,0,0,
FVG_INV_STRUCT_1800,2024-08-21,5,-2.5659999999998035,-0.5131999999999607,13,5,3,5,5,5,13,5,0,0,5,0,0,
FVG_INV_STRUCT_1800,2024-08-28,3,-1.0729999999998654,-0.3576666666666218,19,3,8,7,3,3,19,3,0,0,3,0,0,
FVG_INV_STRUCT_1800,2024-09-24,3,-1.7540000000003602,-0.5846666666667867,21,3,7,10,3,3,21,3,0,0,3,0,0,
FVG_INV_STRUCT_1800,2024-09-30,3,1.5909999999994398,0.5303333333331466,28,3,10,15,2,3,28,3,0,0,3,0,0,
FVG_INV_STRUCT_1800,2024-10-01,5,23.490999999992255,4.698199999998451,21,5,8,8,3,5,21,5,0,0,5,0,0,
FVG_INV_STRUCT_1800,2024-10-04,6,8.629000000002634,1.4381666666671056,18,6,5,6,5,6,18,6,0,0,6,0,0,
FVG_INV_STRUCT_1800,2024-10-10,2,-0.3329999999996289,-0.16649999999981446,12,2,4,5,2,2,12,2,0,0,2,0,0,
FVG_INV_STRUCT_1800,2024-10-15,7,14.58400000001302,2.0834285714304315,18,7,4,6,4,7,18,7,0,0,7,0,0,
FVG_INV_STRUCT_1800,2024-10-18,6,-2.73700000000008,-0.45616666666668,20,6,10,4,6,6,20,6,0,0,6,0,0,
FVG_INV_STRUCT_1800,2024-10-22,4,11.067000000004555,2.7667500000011387,16,4,9,2,3,4,16,4,0,0,4,0,0,
FVG_INV_STRUCT_1800,2024-11-13,5,-1.0869999999995343,-0.21739999999990686,17,5,4,7,5,5,17,5,0,0,5,0,0,
FVG_INV_STRUCT_1800,2024-11-28,7,20.379000000003998,2.9112857142862856,26,7,13,5,4,7,26,7,0,0,7,0,0,
FVG_INV_STRUCT_1800,2024-12-02,2,-0.6599999999998545,-0.32999999999992724,22,2,12,8,2,2,22,2,0,0,2,0,0,
FVG_INV_STRUCT_1800,2025-01-03,4,5.700000000003911,1.4250000000009777,19,4,10,5,3,4,19,4,0,0,4,0,0,
FVG_INV_STRUCT_1800,2025-01-08,2,7.549000000001798,3.774500000000899,8,2,3,3,1,2,8,2,0,0,2,0,0,
FVG_INV_STRUCT_1800,2025-01-15,9,34.22340765578126,3.802600850642362,17,6,3,8,3,6,18,9,3,3,6,0,0,
FVG_INV_STRUCT_1800,2025-01-22,3,3.036999999999807,1.0123333333332691,14,3,5,6,2,3,14,3,0,0,3,0,0,
FVG_INV_STRUCT_1800,2025-01-29,3,3.3100000000004,1.1033333333334667,14,3,7,4,2,3,14,3,0,0,3,0,0,
FVG_INV_STRUCT_1800,2025-01-31,3,8.983000000001084,2.9943333333336946,16,3,8,4,2,3,16,3,0,0,3,0,0,
FVG_INV_STRUCT_1800,2025-02-21,1,-0.3700000000003456,-0.3700000000003456,11,1,4,5,1,1,11,1,0,0,1,0,0,
FVG_INV_STRUCT_1800,2025-03-11,3,8.873000000000957,2.9576666666669857,12,3,4,5,2,3,12,3,0,0,3,0,0,
FVG_INV_STRUCT_1800,2025-03-19,5,1.1330000000007203,0.22660000000014408,18,5,8,4,4,5,18,5,0,0,5,0,0,
FVG_INV_STRUCT_1800,2025-03-26,1,-0.18999999999959982,-0.18999999999959982,15,1,8,5,1,1,15,1,0,0,1,0,0,
