config,day,n_trades,pnl_total,ev_per_trade,n_fills,n_signals_emitted,n_signals_consumed,n_soft_stops,n_inv_trades_submitted,n_inv_trades_filled,error
INV_4,2025-04-17,81,-1.9836108680387956,-0.024489023062207353,81,27,26,37,7,7,
INV_4,2025-04-30,61,-7.0647796926549145,-0.11581606053532646,61,21,21,24,5,5,
INV_4,2025-05-14,105,-5.2689184611833,-0.05018017582079333,105,36,36,43,7,7,
INV_4,2025-06-12,51,-0.6450426314090691,-0.01264789473351116,51,20,20,11,2,2,
INV_4,2025-06-13,86,1.569869515666293,0.018254296693794105,86,28,28,41,11,11,
INV_4,2025-06-17,48,-3.613913820400588,-0.07528987125834559,48,16,16,21,3,3,
INV_4,2025-07-07,56,1.6908427779400577,0.030193621034643885,56,23,23,22,3,3,
INV_4,2025-07-23,66,-1.3930954792593488,-0.021107507261505287,66,24,24,30,4,4,
INV_4,2025-08-06,50,0.8534435938440764,0.01706887187688153,50,17,17,17,3,3,
INV_4,2025-09-09,61,-3.003650265376109,-0.049240168284854245,61,22,22,30,5,5,
INV_4,2025-12-10,42,0.5464826582128807,0.013011491862211445,42,16,16,18,4,4,
INV_4,2025-12-15,41,0.29207826679733745,0.007123860165788718,41,16,16,9,1,1,
INV_4,2025-12-19,49,-2.2699454877301832,-0.04632541811694252,49,16,16,31,7,7,
INV_4,2025-12-30,65,-3.0625317939490437,-0.04711587375306221,65,22,22,19,3,3,
INV_4,2026-02-12,49,-8.084122436936621,-0.16498209054972696,49,18,18,25,6,6,
INV_4,2026-02-25,61,1.2278195946085664,0.020128190075550268,61,20,20,23,7,7,
INV_4,2026-03-02,57,-0.39555486565404857,-0.0069395590465622554,57,21,21,11,3,3,
INV_4,2026-03-06,81,-1.5920510506427188,-0.019654951242502702,81,27,27,19,5,5,
INV_4,2026-04-15,56,-0.13798850842583013,-0.0024640805076041094,56,22,22,26,5,5,
INV_4,2026-05-06,105,-8.254403967450648,-0.0786133711185776,105,41,41,46,11,11,
INV_4,2026-05-12,101,1.855800461728601,0.01837426199731288,101,38,37,46,13,13,
INV_4,2026-06-05,70,-1.1357837012819803,-0.01622548144688543,70,26,26,26,5,5,
INV_4,2026-06-24,115,-7.942815677226615,-0.06906796241066622,115,40,40,38,6,6,
INV_5,2024-01-23,16,1.4594353988034072,0.09121471242521295,16,8,8,2,0,0,
INV_5,2024-02-07,19,1.0219980517739107,0.0537893711459953,19,8,8,5,1,1,
INV_5,2024-02-08,27,-1.5050281205223353,-0.05574178224156797,27,9,9,7,1,1,
INV_5,2024-02-16,36,-0.17020877556698605,-0.00472802154352739,36,13,13,15,2,2,
INV_5,2024-02-23,46,0.6950453599666464,0.015109681738405356,46,19,19,18,1,1,
INV_5,2024-03-08,61,-2.447838791377914,-0.04012850477668711,61,23,23,25,1,1,
INV_5,2024-03-13,50,1.4589564585893036,0.02917912917178607,50,20,20,18,1,1,
INV_5,2024-04-11,54,-1.7883518181479305,-0.03311762626199871,54,18,18,25,5,5,
INV_5,2024-05-06,59,-2.012570667816514,-0.03411136725112735,59,21,21,17,2,2,
INV_5,2024-05-07,50,0.31296755126807807,0.006259351025361562,50,16,16,24,6,6,
INV_5,2024-05-14,75,-1.5282502009892294,-0.020376669346523057,75,25,25,25,4,4,
INV_5,2024-05-17,83,-0.1153649503035012,-0.001389939160283147,83,29,29,34,4,4,
INV_5,2024-05-24,30,-0.24900260846591965,-0.008300086948863989,30,13,13,11,2,2,
INV_5,2024-05-31,52,-1.247707267384764,-0.023994370526630077,52,20,20,8,2,2,
INV_5,2024-06-11,47,-1.3393160426867325,-0.02849608601461133,47,16,16,13,1,1,
INV_5,2024-06-18,48,-3.3427384415569277,-0.06964038419910266,48,15,15,22,3,3,
INV_5,2024-06-24,44,-1.094806287396144,-0.02488196107718509,44,16,16,8,1,1,
INV_5,2024-06-25,58,-1.4010012172019137,-0.024155193400032995,58,21,21,17,0,0,
INV_5,2024-06-26,53,-0.17305429354852694,-0.0032651753499722065,53,20,20,10,1,1,
INV_5,2024-07-01,44,-0.3395791464634688,-0.007717707874169746,44,16,16,7,0,0,
INV_5,2024-07-17,55,-1.5260290966137595,-0.027745983574795626,55,19,19,27,6,6,
INV_5,2024-07-18,48,-1.3767009699281516,-0.02868127020683649,48,20,20,12,0,0,
INV_5,2024-07-31,78,-2.4474367974174434,-0.03137739483868517,78,28,28,16,2,2,
INV_5,2024-08-13,38,-1.3736893113397552,-0.03614971871946724,38,13,13,6,0,0,
INV_5,2024-08-19,41,-0.4647984259519642,-0.011336546974438151,41,16,16,13,1,1,
INV_5,2024-09-05,61,0.13501565594545653,0.0022133714089419103,61,22,22,23,2,2,
INV_5,2024-09-12,87,-3.816020378512349,-0.04386230320129137,87,30,30,38,7,7,
INV_5,2024-10-18,76,-2.8017833070081606,-0.03686556982905474,76,25,25,22,5,5,
INV_5,2024-10-23,80,3.276910781334967,0.040961384766687085,80,31,31,23,5,5,
INV_5,2024-11-04,33,-0.34073462838599283,-0.01032529176927251,33,12,12,9,1,1,
