config,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_inv_submitted,n_inv_filled,n_soft_stops,n_inversions,error
SNIPER_INV,2024-05-06,10,-0.9130000000004659,-0.0913000000000466,21,5,6,10,10,10,8,10,
SNIPER_INV,2024-05-08,2,-0.3400000000001455,-0.17000000000007276,10,1,7,2,2,2,2,2,
SNIPER_INV,2024-05-14,16,-0.9243999999985135,-0.057774999999907095,26,8,15,3,16,16,13,16,
SNIPER_INV,2024-05-17,16,3.744600000000446,0.23403750000002788,30,8,16,6,16,16,10,16,
SNIPER_INV,2024-05-24,4,1.3519999999998618,0.33799999999996544,14,2,3,9,4,4,3,4,
SNIPER_INV,2024-06-03,14,-1.7099999999991269,-0.12214285714279478,23,7,9,7,14,14,12,14,
SNIPER_INV,2024-06-11,6,-0.06499999999959989,-0.01083333333326665,17,3,9,4,6,6,5,6,
SNIPER_INV,2024-06-18,8,-0.952999999999065,-0.11912499999988313,15,4,7,4,8,8,6,8,
SNIPER_INV,2024-06-24,10,1.5805999999993219,0.1580599999999322,16,5,6,5,10,10,7,10,
SNIPER_INV,2024-06-25,6,-0.45700000000033475,-0.07616666666672246,21,3,12,5,6,6,5,6,
SNIPER_INV,2024-06-26,8,-0.5639999999993961,-0.07049999999992451,20,4,12,4,8,8,7,8,
SNIPER_INV,2024-07-01,2,0.5273999999999432,0.2636999999999716,17,1,7,9,2,2,1,2,
SNIPER_INV,2024-07-18,6,0.09060000000044977,0.015100000000074961,21,3,5,11,6,6,5,6,
SNIPER_INV,2024-07-19,18,1.8687999999988278,0.1038222222221571,31,9,11,10,18,18,13,18,
SNIPER_INV,2024-07-31,14,-0.3460000000004584,-0.024714285714318458,28,7,13,7,14,14,11,14,
SNIPER_INV,2024-08-13,10,2.166400000000067,0.2166400000000067,14,5,6,3,10,10,7,10,
SNIPER_INV,2024-08-19,6,-0.41139999999950305,-0.06856666666658384,16,3,8,4,6,6,5,6,
SNIPER_INV,2024-09-05,10,1.458599999999933,0.1458599999999933,23,5,12,6,10,10,7,10,
SNIPER_INV,2024-09-12,20,-1.6061999999988077,-0.08030999999994039,32,10,9,12,20,20,17,20,
SNIPER_INV,2024-10-21,16,2.2485999999998967,0.14053749999999354,18,8,7,3,16,16,10,16,
