config,tp_mult,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_soft_stops,n_inversions,n_signals_emitted,n_fills,error
SNIPER_TP1,1.0,2024-05-31,10,-1.2799999999988358,-0.1279999999998836,22,10,4,8,5,7,22,10,
SNIPER_TP1,1.0,2024-06-05,11,2.6330000000002656,0.2393636363636605,18,11,3,3,2,5,18,11,
SNIPER_TP1,1.0,2024-06-07,8,-1.9959999999987303,-0.2494999999998413,42,8,16,17,3,4,42,8,
SNIPER_TP1,1.0,2024-06-12,4,1.0159999999996217,0.2539999999999054,26,4,12,9,0,2,26,4,
SNIPER_TP1,1.0,2024-06-13,6,1.0129999999994652,0.1688333333332442,18,6,8,4,1,3,18,6,
SNIPER_TP1,1.0,2024-06-14,2,-0.11300000000028376,-0.05650000000014188,25,2,12,11,1,1,25,2,
SNIPER_TP1,1.0,2024-06-19,0,0.0,0.0,11,0,3,7,0,0,11,0,
SNIPER_TP1,1.0,2024-07-04,2,-0.05999999999994543,-0.029999999999972715,10,2,5,3,0,1,10,2,
SNIPER_TP1,1.0,2024-07-08,4,0.2529999999997017,0.06324999999992542,33,4,12,16,0,0,33,4,
SNIPER_TP1,1.0,2024-07-12,9,0.2599999999993089,0.0288888888888121,26,9,7,10,4,5,26,9,
SNIPER_TP1,1.0,2024-07-17,8,1.1319999999991524,0.14149999999989404,19,8,4,7,1,2,19,8,
SNIPER_TP1,1.0,2024-07-22,2,0.0999999999999091,0.04999999999995455,21,2,9,9,0,0,21,2,
SNIPER_TP1,1.0,2024-07-30,2,-0.7400000000002365,-0.37000000000011823,22,2,8,12,1,1,22,2,
SNIPER_TP1,1.0,2024-08-01,4,-1.1730000000002292,-0.2932500000000573,16,4,6,5,1,1,16,4,
SNIPER_TP1,1.0,2024-08-05,14,-3.172999999998865,-0.22664285714277607,46,14,14,17,6,7,46,14,
SNIPER_TP1,1.0,2024-08-21,7,-0.6200000000008004,-0.0885714285715429,16,7,3,5,1,3,16,7,
SNIPER_TP1,1.0,2024-08-28,3,-0.9929999999999382,-0.33099999999997937,27,3,9,15,2,2,27,3,
SNIPER_TP1,1.0,2024-09-24,4,-2.559000000000651,-0.6397500000001628,24,4,8,11,1,1,24,4,
SNIPER_TP1,1.0,2024-09-30,4,0.25300000000015643,0.06325000000003911,35,4,14,17,0,0,35,4,
SNIPER_TP1,1.0,2024-10-01,5,-0.34600000000045844,-0.06920000000009169,28,5,10,12,1,2,28,5,
SNIPER_TP1,1.0,2024-10-04,6,-0.9329999999990832,-0.1554999999998472,21,6,6,7,2,5,21,6,
SNIPER_TP1,1.0,2024-10-10,3,-0.37700000000040745,-0.12566666666680248,13,3,5,4,1,1,13,3,
SNIPER_TP1,1.0,2024-10-15,8,0.01700000000028007,0.0021250000000350086,24,8,6,9,3,6,24,8,
SNIPER_TP1,1.0,2024-10-18,9,-0.7629999999994653,-0.08477777777771837,28,9,11,8,2,4,28,9,
SNIPER_TP1,1.0,2024-10-22,4,1.7580000000007203,0.4395000000001801,22,4,13,4,0,2,22,4,
